date,coin_symbol,coin_name,coin_rank,token_group,outcome_realized_vol_30d,driver_sec_event_indicator,control_market_cap,control_total_volume,control_btc_corr_30d
2020-02-28,btc,Bitcoin,1,defi,,0,160149975301.41962,43045469000.97675,1
2020-02-28,doge,Dogecoin,9,defi,,0,288730742.5873611,138916299.7128656,
2020-02-28,eth,Ethereum,2,defi,,0,24879553838.25944,23994578699.806023,
2020-02-28,trx,TRON,8,defi,,0,1119049196.3356862,1917804042.216492,
2020-02-28,usdc,USDC,6,stablecoin,,0,442683070.96539927,1037984076.0452268,
2020-02-28,usdt,Tether,3,stablecoin,,0,4290501476.9167504,53511612145.49837,
2020-02-28,xrp,XRP,4,defi,,0,10372076911.34373,2700620092.1848893,
2020-02-29,bnb,BNB,5,centralized_exchange,,0,2926158625.653091,475710231.9775181,
2020-02-29,btc,Bitcoin,1,defi,,0,159030381910.26715,41297721067.30182,1
2020-02-29,doge,Dogecoin,9,defi,,0,285088979.4241193,130103960.27279843,
2020-02-29,eth,Ethereum,2,defi,,0,25137364865.97101,19715536659.91429,
2020-02-29,trx,TRON,8,defi,,0,1135064412.838668,1735768870.7443993,
2020-02-29,usdc,USDC,6,stablecoin,,0,444737275.3542712,981166187.7326924,
2020-02-29,usdt,Tether,3,stablecoin,,0,4284583525.7589073,50928255293.28052,
2020-02-29,xrp,XRP,4,defi,,0,10383454661.41943,2477143911.606179,
2020-03-01,bnb,BNB,5,centralized_exchange,,0,2982985653.833748,510660552.3855437,
2020-03-01,btc,Bitcoin,1,defi,,0,156047250857.11172,33291626663.006737,1
2020-03-01,doge,Dogecoin,9,defi,,0,277173142.3073316,122706371.4694886,
2020-03-01,eth,Ethereum,2,defi,,0,24105658618.96741,13967572974.821035,
2020-03-01,trx,TRON,8,defi,,0,1098128042.2443762,1557806279.2023392,
2020-03-01,usdc,USDC,6,stablecoin,,0,444538917.7169231,863646820.5199721,
2020-03-01,usdt,Tether,3,stablecoin,,0,4281707677.9713054,39523155374.76641,
2020-03-01,xrp,XRP,4,defi,,0,10085552216.249443,2044539704.0515928,
2020-03-02,bnb,BNB,5,centralized_exchange,,0,2908085916.4507985,279150858.820654,
2020-03-02,btc,Bitcoin,1,defi,,0,155934421965.2728,34310775733.322155,1
2020-03-02,doge,Dogecoin,9,defi,,0,276525338.1066594,132312472.16995798,
2020-03-02,eth,Ethereum,2,defi,,0,24049874527.90718,16557363028.554333,
2020-03-02,trx,TRON,8,defi,,0,1093290403.843949,1572446557.199927,
2020-03-02,usdc,USDC,6,stablecoin,,0,445667651.9329806,833220836.6504524,
2020-03-02,usdt,Tether,3,stablecoin,,0,4287586058.2481146,40679056015.069176,
2020-03-02,xrp,XRP,4,defi,,0,10025695675.143848,2069107143.4855475,
2020-03-03,bnb,BNB,5,centralized_exchange,,0,3047290851.6456995,342469581.8297362,
2020-03-03,btc,Bitcoin,1,defi,,0,162521881368.8758,59776629742.57125,1
2020-03-03,doge,Dogecoin,9,defi,,0,292637623.8657013,141216615.1434779,
2020-03-03,eth,Ethereum,2,defi,,0,25392608994.495888,18301098060.91034,
2020-03-03,trx,TRON,8,defi,,0,1157003501.9217334,1719649688.121529,
2020-03-03,usdc,USDC,6,stablecoin,,0,457244830.19271606,903368008.5865644,
2020-03-03,usdt,Tether,3,stablecoin,,0,4287612678.862988,62844694239.69653,
2020-03-03,xrp,XRP,4,defi,,0,10478654993.098969,2463124755.610758,
2020-03-04,bnb,BNB,5,centralized_exchange,,0,2967313549.754455,328500278.4133449,
2020-03-04,btc,Bitcoin,1,defi,,0,159816567727.14258,68336042797.3885,1
2020-03-04,doge,Dogecoin,9,defi,,0,298013222.6554983,145310587.21271068,
2020-03-04,eth,Ethereum,2,defi,,0,24709361638.74632,19133763158.937862,
2020-03-04,trx,TRON,8,defi,,0,1143921755.2160192,1539078431.3564868,
2020-03-04,usdc,USDC,6,stablecoin,,0,468968352.687417,950860602.2740312,
2020-03-04,usdt,Tether,3,stablecoin,,0,4290848897.27709,69962062115.36945,
2020-03-04,xrp,XRP,4,defi,,0,10269759591.410824,2454087704.964802,
2020-03-05,bnb,BNB,5,centralized_exchange,,0,3023669002.147633,316845189.14028096,
2020-03-05,btc,Bitcoin,1,defi,,0,159869936941.09732,38832067216.87788,1
2020-03-05,doge,Dogecoin,9,defi,,0,304497587.25450265,130345674.18698607,
2020-03-05,eth,Ethereum,2,defi,,0,24635535324.34428,14844945103.395332,
2020-03-05,trx,TRON,8,defi,,0,1163613411.436144,1404293283.5267096,
2020-03-05,usdc,USDC,6,stablecoin,,0,468927308.371022,735162923.3795483,
2020-03-05,usdt,Tether,3,stablecoin,,0,4294158069.334562,43525699046.66516,
2020-03-05,xrp,XRP,4,defi,,0,10272279568.445084,2236741729.1902986,
2020-03-06,bnb,BNB,5,centralized_exchange,,0,3148122007.3728514,348942110.5211332,
2020-03-06,btc,Bitcoin,1,defi,,0,165070261612.788,38122635173.15044,1
2020-03-06,doge,Dogecoin,9,defi,,0,306300424.48076445,85693524.53818743,
2020-03-06,eth,Ethereum,2,defi,,0,25072941968.371387,16056678004.768778,
2020-03-06,trx,TRON,8,defi,,0,1176313298.4422789,1448960818.349312,
2020-03-06,usdc,USDC,6,stablecoin,,0,462571692.7938007,704651380.9283665,
2020-03-06,usdt,Tether,3,stablecoin,,0,4283452585.4754834,46015872915.016624,
2020-03-06,xrp,XRP,4,defi,,0,10432581064.571096,2193770065.4365125,
2020-03-07,bnb,BNB,5,centralized_exchange,,0,3225098953.680081,395065946.1191317,
2020-03-07,btc,Bitcoin,1,defi,,0,166791067805.42844,41388087588.44269,1
2020-03-07,doge,Dogecoin,9,defi,,0,307450941.5042309,81573107.81165162,
2020-03-07,eth,Ethereum,2,defi,,0,26861442576.626507,16938887970.316448,
2020-03-07,trx,TRON,8,defi,,0,1210063083.1410687,1462040144.654081,
2020-03-07,usdc,USDC,6,stablecoin,,0,462713791.6625834,1350469901.527118,
2020-03-07,usdt,Tether,3,stablecoin,,0,4292195689.740502,48040883409.130745,
2020-03-07,xrp,XRP,4,defi,,0,10685792781.178034,2329507514.62436,
2020-03-08,bnb,BNB,5,centralized_exchange,,0,3021511858.487788,314894895.76634705,
2020-03-08,btc,Bitcoin,1,defi,,0,162543409238.00458,36764763103.12236,1
2020-03-08,doge,Dogecoin,9,defi,,0,299943225.37830424,68887904.53028291,
2020-03-08,eth,Ethereum,2,defi,,0,26199142579.509502,15033855133.023136,
2020-03-08,trx,TRON,8,defi,,0,1128789057.9376912,1373212983.9585967,
2020-03-08,usdc,USDC,6,stablecoin,,0,464653647.0429611,1172262395.507939,
2020-03-08,usdt,Tether,3,stablecoin,,0,4288082506.561007,44669108239.37727,
2020-03-08,xrp,XRP,4,defi,,0,10388905930.494232,1974512300.6903648,
2020-03-09,bnb,BNB,5,centralized_exchange,,0,2576606762.579333,273483539.38262784,
2020-03-09,btc,Bitcoin,1,defi,,0,147076617271.6885,39132209137.69724,1
2020-03-09,doge,Dogecoin,9,defi,,0,269347499.5804046,79686704.90746602,
2020-03-09,eth,Ethereum,2,defi,,0,22145350491.45419,18839637103.64804,
2020-03-09,trx,TRON,8,defi,,0,995645496.2979168,1389988065.9483504,
2020-03-09,usdc,USDC,6,stablecoin,,0,460009438.3731151,1311414526.7305405,
2020-03-09,usdt,Tether,3,stablecoin,,0,4262796415.264465,41092822471.060905,
2020-03-09,xrp,XRP,4,defi,,0,8932130947.405481,2212569691.91303,
2020-03-10,bnb,BNB,5,centralized_exchange,,0,2497008181.427224,383658471.5850716,
2020-03-10,btc,Bitcoin,1,defi,,0,144664117909.4077,45678665163.11017,1
2020-03-10,doge,Dogecoin,9,defi,,0,271554683.58954656,105653413.87130304,
2020-03-10,eth,Ethereum,2,defi,,0,22001125399.41239,17900321700.644154,
2020-03-10,trx,TRON,8,defi,,0,991205129.8470036,1466410499.408032,
2020-03-10,usdc,USDC,6,stablecoin,,0,460225304.0707362,1288989238.02497,
2020-03-10,usdt,Tether,3,stablecoin,,0,4299840152.818669,60711640591.94306,
2020-03-10,xrp,XRP,4,defi,,0,9150172777.740631,2703449654.798481,
2020-03-11,bnb,BNB,5,centralized_exchange,,0,2565981290.9065304,330638655.66053146,
2020-03-11,btc,Bitcoin,1,defi,,0,144410718987.88852,40882213633.94649,1
2020-03-11,doge,Dogecoin,9,defi,,0,272532064.57710326,88469387.3534648,
2020-03-11,eth,Ethereum,2,defi,,0,22178131746.591427,10622282127.512651,
2020-03-11,trx,TRON,8,defi,,0,1000441888.1392952,1302301194.9968884,
2020-03-11,usdc,USDC,6,stablecoin,,0,457583949.4289563,1492210276.5475967,
2020-03-11,usdt,Tether,3,stablecoin,,0,4301130617.355973,47930121433.38325,
2020-03-11,xrp,XRP,4,defi,,0,9268761808.195688,2198016132.888562,
2020-03-12,bnb,BNB,5,centralized_exchange,,0,2493501408.1594257,267252146.98900425,
2020-03-12,btc,Bitcoin,1,defi,,0,144948460093.29614,38689036552.81125,1
2020-03-12,doge,Dogecoin,9,defi,,0,271034084.12404734,81850204.70560278,
2020-03-12,eth,Ethereum,2,defi,,0,21375073649.951973,14699687559.439268,
2020-03-12,trx,TRON,8,defi,,0,981567578.8859404,1270721738.6004474,
2020-03-12,usdc,USDC,6,stablecoin,,0,467915567.55711335,1266012034.5877752,
2020-03-12,usdt,Tether,3,stablecoin,,0,4311456649.06912,45304260520.12959,
2020-03-12,xrp,XRP,4,defi,,0,9174518395.667374,2049343228.0515945,
2020-03-13,bnb,BNB,5,centralized_exchange,,0,1437874399.8177972,412918004.27244896,
2020-03-13,btc,Bitcoin,1,defi,,0,93092131086.97026,50009548492.07486,1
2020-03-13,doge,Dogecoin,9,defi,,0,183588292.09236532,110773263.56278166,
2020-03-13,eth,Ethereum,2,defi,,0,11956631650.303354,17357843633.111378,
2020-03-13,trx,TRON,8,defi,,0,571153079.7804911,1186339164.3887012,
2020-03-13,usdc,USDC,6,stablecoin,,0,518795787.6768131,1245605483.8653967,
2020-03-13,usdt,Tether,3,stablecoin,,0,4308381652.1723,65370235004.51704,
2020-03-13,xrp,XRP,4,defi,,0,6028784807.164941,2844634644.5898576,
2020-03-14,bnb,BNB,5,centralized_exchange,,0,1615054798.958406,551414732.7958282,
2020-03-14,btc,Bitcoin,1,defi,,0,101262945297.35812,74329688818.10397,1
2020-03-14,doge,Dogecoin,9,defi,,0,212660911.622022,162397713.99004295,
2020-03-14,eth,Ethereum,2,defi,,0,14567054564.19822,24412190319.85676,
2020-03-14,trx,TRON,8,defi,,0,668893982.7821337,1837942458.0232203,
2020-03-14,usdc,USDC,6,stablecoin,,0,563821751.9878129,795413199.4286765,
2020-03-14,usdt,Tether,3,stablecoin,,0,4340812840.148948,92226829877.40114,
2020-03-14,xrp,XRP,4,defi,,0,6828007204.563598,5002103249.521113,
2020-03-15,bnb,BNB,5,centralized_exchange,,0,1527890811.8259366,270906520.91289306,
2020-03-15,btc,Bitcoin,1,defi,,0,95216478864.65564,36054625746.82817,1
2020-03-15,doge,Dogecoin,9,defi,,0,205572589.55604807,83287639.85381952,
2020-03-15,eth,Ethereum,2,defi,,0,13505998666.239887,8678897518.712492,
2020-03-15,trx,TRON,8,defi,,0,641651988.2758574,1182990508.3227377,
2020-03-15,usdc,USDC,6,stablecoin,,0,564599306.1280397,533157619.10343015,
2020-03-15,usdt,Tether,3,stablecoin,,0,4271079465.443513,39487890716.07522,
2020-03-15,xrp,XRP,4,defi,,0,6450069989.016672,2154086289.8254404,
2020-03-16,bnb,BNB,5,centralized_exchange,,0,1590139361.762785,298770292.3439776,
2020-03-16,btc,Bitcoin,1,defi,,0,98632587514.00249,32985693209.74783,1
2020-03-16,doge,Dogecoin,9,defi,,0,210527259.0145504,92079970.28261894,
2020-03-16,eth,Ethereum,2,defi,,0,13756072458.523424,10971643911.795376,
2020-03-16,trx,TRON,8,defi,,0,683057509.9473486,1207103474.6092644,
2020-03-16,usdc,USDC,6,stablecoin,,0,604610634.9683182,675124870.7591795,
2020-03-16,usdt,Tether,3,stablecoin,,0,4293832554.087441,41647999561.05808,
2020-03-16,xrp,XRP,4,defi,,0,6732484159.771578,2079737198.446287,
2020-03-17,bnb,BNB,5,centralized_exchange,,0,1431388393.079302,284841626.1916497,
2020-03-17,btc,Bitcoin,1,defi,,0,91962797384.28252,44034438467.96684,1
2020-03-17,doge,Dogecoin,9,defi,,0,197138248.7926614,100216039.671732,
2020-03-17,eth,Ethereum,2,defi,,0,12178760413.015514,11161656313.89003,
2020-03-17,trx,TRON,8,defi,,0,634828487.9792799,1213152266.453217,
2020-03-17,usdc,USDC,6,stablecoin,,0,606271145.5514683,644514306.6056744,
2020-03-17,usdt,Tether,3,stablecoin,,0,4317599420.116166,50934758342.763794,
2020-03-17,xrp,XRP,4,defi,,0,6240388468.092608,2529761544.987209,
2020-03-18,bnb,BNB,5,centralized_exchange,,0,1573699552.2746863,232219642.13628063,
2020-03-18,btc,Bitcoin,1,defi,,0,98079756006.79294,36007089253.82256,1
2020-03-18,doge,Dogecoin,9,defi,,0,203980841.13970348,74523963.29975541,
2020-03-18,eth,Ethereum,2,defi,,0,12991193734.51619,10514054745.732649,
2020-03-18,trx,TRON,8,defi,,0,674253833.7376415,1154798915.2687068,
2020-03-18,usdc,USDC,6,stablecoin,,0,626587117.301826,531370905.2387637,
2020-03-18,usdt,Tether,3,stablecoin,,0,4306583144.903502,44460007814.426414,
2020-03-18,xrp,XRP,4,defi,,0,6533184465.968457,2083392083.9541287,
2020-03-19,bnb,BNB,5,centralized_exchange,,0,1563418016.331947,272872630.2164863,
2020-03-19,btc,Bitcoin,1,defi,,0,98259998309.05324,37618067230.41405,1
2020-03-19,doge,Dogecoin,9,defi,,0,199830238.3485469,74515510.58586784,
2020-03-19,eth,Ethereum,2,defi,,0,12900856057.87349,9829287702.00789,
2020-03-19,trx,TRON,8,defi,,0,669458599.4943428,1089136605.531304,
2020-03-19,usdc,USDC,6,stablecoin,,0,628140652.7908068,613702399.941707,
2020-03-19,usdt,Tether,3,stablecoin,,0,4231721926.3548894,43824087657.32284,
2020-03-19,xrp,XRP,4,defi,,0,6436304690.825929,1931411749.81102,
2020-03-20,bnb,BNB,5,centralized_exchange,0.12209405602193396,0,1858603761.587601,346191031.6141539,0.987587890832
2020-03-20,btc,Bitcoin,1,defi,0.0914992973977971,0,112778383593.4914,48056214948.15649,1
2020-03-20,doge,Dogecoin,9,defi,0.08556285288402463,0,219296170.9164783,223278152.6602397,0.966830309623
2020-03-20,eth,Ethereum,2,defi,0.1242951320422069,0,15068113354.89011,13910341816.437582,0.976164184056
2020-03-20,trx,TRON,8,defi,0.12161341621851085,0,771573733.6693658,1346491892.6315398,0.97108884926
2020-03-20,usdc,USDC,6,stablecoin,0.003130227083815679,0,651712527.0901664,1026169260.3110404,-0.47127909959
2020-03-20,usdt,Tether,3,stablecoin,0.006920868279485354,0,4294893981.1129794,59937178587.72581,0.442352684773
2020-03-20,xrp,XRP,4,defi,0.09400864493866788,0,7154342167.204617,2490205855.675707,0.972960403298
2020-03-21,bnb,BNB,5,centralized_exchange,0.12168592280562865,0,1792058784.8584447,387993875.2074847,0.985889602269
2020-03-21,btc,Bitcoin,1,defi,0.09131990402663369,0,113030383272.51408,50936770688.25396,1
2020-03-21,doge,Dogecoin,9,defi,0.08505466172815686,0,222079539.2994962,158961780.25948435,0.967402468371
