feature,rf_importance
token_group_stablecoin,0.3447073054898102
ffeffective_rate,0.18307482653299678
control_btc_corr_30d,0.1632595470517671
control_market_cap,0.13576095339860364
control_total_volume,0.06817840391688457
vix,0.06587055308615435
epu_index,0.02951250935774127
token_group_defi,0.009622542108240088
driver_sec_event_indicator,1.3359057801973332e-05
