model,term,coefficient,std_error,t_stat,p_value,coef_with_stars,nobs,r2_within
FE_standard_SE,driver_sec_event_indicator_lag0_x_grp_defi,0.00269072054882692,0.006005194066591306,0.4480655444253175,0.6541114801538048,0.002691,19552,0.12979561107690063
FE_standard_SE,driver_sec_event_indicator_lag0_x_grp_stablecoin,0.007430551727189889,0.006822793119708116,1.0890776837020337,0.27613473412600675,0.007431,19552,0.12979561107690063
FE_standard_SE,log_market_cap,-0.007822539022379072,0.0003879788745745811,-20.162280822522845,0.0,-0.007823***,19552,0.12979561107690063
FE_standard_SE,log_total_volume,0.007995791828978083,0.0002997868628676048,26.67158844952213,0.0,0.007996***,19552,0.12979561107690063
FE_standard_SE,control_btc_corr_30d,-0.01746086952146573,0.0009136344909434095,-19.111438649208413,0.0,-0.017461***,19552,0.12979561107690063
FE_clustered_SE,driver_sec_event_indicator_lag0_x_grp_defi,0.00269072054882692,0.0035837366867487548,0.7508142433500049,0.45277462353650844,0.002691,19552,0.12979561107690063
FE_clustered_SE,driver_sec_event_indicator_lag0_x_grp_stablecoin,0.007430551727189889,0.0015086388771495892,4.925334909325097,8.498975991866331e-07,0.007431***,19552,0.12979561107690063
FE_clustered_SE,log_market_cap,-0.007822539022379072,0.0030002870651166563,-2.6072635226572625,0.0091347078672106,-0.007823***,19552,0.12979561107690063
FE_clustered_SE,log_total_volume,0.007995791828978083,0.002308837091891254,3.4631251624723483,0.0005352256826214319,0.007996***,19552,0.12979561107690063
FE_clustered_SE,control_btc_corr_30d,-0.01746086952146573,0.010904907402932922,-1.6011937448244222,0.10935219244408834,-0.017461,19552,0.12979561107690063
FE_clustered_trimmed_top1pct,driver_sec_event_indicator_lag0_x_grp_defi,0.0047060948131915645,0.0025163746993885423,1.8701884160316449,0.06147464934152036,0.004706*,19356,0.14108872604530776
FE_clustered_trimmed_top1pct,driver_sec_event_indicator_lag0_x_grp_stablecoin,0.005888549692363092,0.001081864795361527,5.442962667433239,5.3119553866665115e-08,0.005889***,19356,0.14108872604530776
FE_clustered_trimmed_top1pct,log_market_cap,-0.006280413611280774,0.0028029951458697173,-2.240608094000847,0.025064198894817924,-0.006280**,19356,0.14108872604530776
FE_clustered_trimmed_top1pct,log_total_volume,0.005155225790768876,0.0024399897315525664,2.1128063467253217,0.03463173119203189,0.005155**,19356,0.14108872604530776
FE_clustered_trimmed_top1pct,control_btc_corr_30d,-0.012493742456595524,0.006928696303288123,-1.803188061607841,0.07137619892915747,-0.012494*,19356,0.14108872604530776
