,count,mean,std,min,1%,5%,50%,95%,99%,max
outcome_realized_vol_30d,19552.0,0.033956578778051465,0.03369455064279758,3.3586188147952486e-05,6.394260897846883e-05,0.0005240583132900801,0.0298030881321104,0.0887053214937027,0.1361763578498525,0.4288016444347834
driver_sec_event_indicator,19852.0,0.007404795486600846,0.08573409325955995,0.0,0.0,0.0,0.0,0.0,0.0,1.0
control_market_cap,19852.0,167589894393.199,358257734753.33496,0.0,93883221.12366302,1311959078.8006952,42790830958.43193,856976530183.1661,2025321101171.392,2486073086655.2866
control_total_volume,19852.0,14135450249.369312,25820376436.821712,0.0,10196602.072836267,196919156.2091658,3080648231.3766365,61693331781.13574,114514803479.05368,926767674515.136
control_btc_corr_30d,19581.0,0.5833119921894606,0.3575934806688908,-0.705706529365,-0.370341147523,-0.135225080089,0.700162316267,1.0,1.0,1.0
vix,19852.0,20.8313006246222,7.556806652644037,11.86,12.28,13.01,18.96,33.29,50.91,82.69
ffeffective_rate,19852.0,2.815384847874269,2.2080652986479263,0.04,0.05,0.06,3.86,5.33,5.33,5.33
epu_index,19852.0,210.4549556719726,151.8211870937309,5.39,37.7906,58.14,158.27,531.9,704.03,1026.38
