lag,driver_variable,coef,std_error,p_value,nobs,r2_within
0,driver_sec_event_indicator_lag0_x_grp_defi,0.00269072054882692,0.0035837366867487548,0.45277462353650844,19552,0.12979561107690063
1,driver_sec_event_indicator_lag1_x_grp_defi,0.0026035069110100623,0.0042072501300002,0.5360467552694446,19552,0.12975113486462986
2,driver_sec_event_indicator_lag2_x_grp_defi,0.0023353401585656432,0.0042115164980561165,0.5792350276063898,19552,0.12988753641392026
3,driver_sec_event_indicator_lag3_x_grp_defi,8.783152538621832e-05,0.004001643206885584,0.9824889977685598,19552,0.13016020605941192
